taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_census_tract,dropoff_census_tract,pickup_community_area,dropoff_community_area,fare,tips,tolls,extras,trip_total,payment_type,company,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude
6716,2016-12-10 02:30:00,2016-12-10 02:30:00,180,0,,982,8,7,4.75,2.00,0.00,0.00,6.75,Credit Card,107,130,532,618,407
2945,2016-12-8 11:30:00,2016-12-8 11:45:00,1080,3.6,,787,33,8,13.25,2.65,0.00,0.00,15.90,Credit Card,109,529,619,161,649
2643,2016-12-30 01:00:00,2016-12-30 01:00:00,120,0,,225,8,8,4.00,0.00,0.00,0.00,4.00,Cash,107,754,410,754,410
6016,2016-12-20 12:00:00,2016-12-20 12:15:00,780,0,,1046,28,33,10.75,0.00,0.00,0.00,10.75,Cash,8,411,545,728,277
1415,2016-12-6 18:45:00,2016-12-6 19:00:00,780,1.8,,498,32,8,9.25,1.50,0.00,1.00,11.75,Credit Card,101,18,610,413,636
862,2016-12-11 16:00:00,2016-12-11 16:00:00,480,0,,970,8,8,6.00,2.00,0.00,0.00,8.00,Credit Card,107,294,113,210,470
1775,2016-12-2 11:00:00,2016-12-2 11:15:00,1020,2.3,,334,28,8,11.25,2.65,0.00,2.00,15.90,Credit Card,10,411,545,294,113
5577,2016-12-2 12:15:00,2016-12-2 12:30:00,300,1,,970,8,8,6.00,2.00,0.00,0.00,8.00,Credit Card,101,474,204,210,470
6710,2016-12-19 16:30:00,2016-12-19 16:30:00,360,0,,504,8,32,6.75,0.00,0.00,0.00,6.75,Credit Card,107,754,410,744,605
4708,2016-12-4 16:15:00,2016-12-4 16:30:00,1200,2.8,,959,33,8,12.75,2.85,0.00,1.50,17.10,Credit Card,107,728,277,167,754
117,2016-12-29 12:15:00,2016-12-29 12:30:00,720,6.1,,550,33,41,17.50,3.80,0.00,1.50,22.80,Credit Card,107,728,277,179,302
4318,2016-12-13 18:15:00,2016-12-13 18:30:00,960,2.3,,970,33,8,10.75,3.20,0.00,0.00,13.95,Credit Card,109,728,277,210,470
2708,2016-12-11 01:45:00,2016-12-11 02:15:00,1560,7,,365,8,24,21.00,4.50,0.00,1.50,27.00,Credit Card,107,210,470,459,101
4763,2016-12-9 13:45:00,2016-12-9 14:00:00,540,1.2,,792,8,8,7.25,0.00,0.00,1.00,8.25,Cash,101,161,649,419,615
734,2016-12-15 12:45:00,2016-12-15 12:45:00,180,0,,970,8,8,4.75,2.00,0.00,0.00,6.75,Credit Card,8,688,206,210,470
3280,2016-12-10 10:15:00,2016-12-10 10:15:00,0,0.4,,313,76,76,4.00,0.00,0.00,0.00,4.00,Cash,107,225,6,225,6
7323,2016-12-5 09:15:00,2016-12-5 09:30:00,300,0.9,,16,28,32,5.75,2.00,0.00,1.00,8.75,Credit Card,101,411,545,18,610
8696,2016-12-31 00:00:00,2016-12-31 00:00:00,420,2.4,,676,32,28,9.25,0.00,0.00,1.00,10.25,Cash,43,329,69,779,81
7739,2016-12-7 15:30:00,2016-12-7 15:45:00,180,0.6,,792,8,8,5.00,1.00,0.00,1.00,7.00,Credit Card,43,754,410,419,615
617,2016-12-21 20:30:00,2016-12-21 20:30:00,420,0,,498,32,8,6.75,0.00,0.00,0.00,6.75,Cash,107,744,605,413,636
6631,2016-12-7 19:45:00,2016-12-7 19:45:00,480,0.9,,792,8,8,6.50,1.00,0.00,0.00,7.50,Credit Card,10,754,410,419,615
686,2016-12-5 13:00:00,2016-12-5 13:15:00,300,0,,334,8,8,6.00,0.00,0.00,0.00,6.00,Cash,8,419,615,294,113
1098,2016-12-24 16:15:00,2016-12-24 16:30:00,480,0,,787,32,8,8.50,0.00,0.00,0.00,8.50,Cash,8,30,405,161,649
5926,2016-12-27 10:45:00,2016-12-27 11:00:00,1500,1.2,,1046,76,33,48.50,0.00,0.00,5.00,53.50,Cash,107,225,6,728,277
